in.ahs_region	"CBSA Atlanta-Sandy Springs-Roswell, GA"	"American Housing Survey region Atlanta-Sandy Springs-Roswell, GA"
in.ahs_region	"CBSA Boston-Cambridge-Newton, MA-NH"	"American Housing Survey region Boston-Cambridge-Newton, MA-NH"
in.ahs_region	"CBSA Chicago-Naperville-Elgin, IL-IN-WI"	"American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI"
in.ahs_region	"CBSA Dallas-Fort Worth-Arlington, TX"	"American Housing Survey region Dallas-Fort Worth-Arlington, TX"
in.ahs_region	"CBSA Detroit-Warren-Dearborn, MI"	"American Housing Survey region Detroit-Warren-Dearborn, MI"
in.ahs_region	"CBSA Houston-The Woodlands-Sugar Land, TX"	"American Housing Survey region Houston-The Woodlands-Sugar Land, TX"
in.ahs_region	"CBSA Los Angeles-Long Beach-Anaheim, CA"	"American Housing Survey region Los Angeles-Long Beach-Anaheim, CA"
in.ahs_region	"CBSA Miami-Fort Lauderdale-West Palm Beach, FL"	"American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL"
in.ahs_region	"CBSA New York-Newark-Jersey City, NY-NJ-PA"	"American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA"
in.ahs_region	"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
in.ahs_region	"CBSA Phoenix-Mesa-Scottsdale, AZ"	"American Housing Survey region Phoenix-Mesa-Scottsdale, AZ"
in.ahs_region	"CBSA Riverside-San Bernardino-Ontario, CA"	"American Housing Survey region Riverside-San Bernardino-Ontario, CA"
in.ahs_region	"CBSA San Francisco-Oakland-Hayward, CA"	"American Housing Survey region San Francisco-Oakland-Hayward, CA"
in.ahs_region	"CBSA Seattle-Tacoma-Bellevue, WA"	"American Housing Survey region Seattle-Tacoma-Bellevue, WA"
in.ahs_region	"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV"	"American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV"
in.ahs_region	Non-CBSA East North Central	American Housing Survey region BSA East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region BSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region BSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region BSA Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region BSA New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region BSA Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region BSA South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region BSA West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region BSA West South Central
in.air_leakage_to_outside_ach50	1.42575	Total infiltration to the dwelling unit is 1.42575 ACH50
in.air_leakage_to_outside_ach50	1.4268	Total infiltration to the dwelling unit is 1.42679999999999 ACH50
in.air_leakage_to_outside_ach50	1.4312	Total infiltration to the dwelling unit is 1.4312 ACH50
in.air_leakage_to_outside_ach50	1.44584	Total infiltration to the dwelling unit is 1.44584 ACH50
in.air_leakage_to_outside_ach50	1.44594	Total infiltration to the dwelling unit is 1.44594 ACH50
in.air_leakage_to_outside_ach50	1.4467	Total infiltration to the dwelling unit is 1.44669999999999 ACH50
in.air_leakage_to_outside_ach50	1.45432	Total infiltration to the dwelling unit is 1.45432 ACH50
in.air_leakage_to_outside_ach50	1.45436	Total infiltration to the dwelling unit is 1.45436 ACH50
in.air_leakage_to_outside_ach50	1.46988	Total infiltration to the dwelling unit is 1.46988 ACH50
in.air_leakage_to_outside_ach50	1.47825	Total infiltration to the dwelling unit is 1.47825 ACH50
in.air_leakage_to_outside_ach50	1.48044	Total infiltration to the dwelling unit is 1.48044 ACH50
in.air_leakage_to_outside_ach50	1.48464	Total infiltration to the dwelling unit is 1.48464 ACH50
in.air_leakage_to_outside_ach50	1.48498	Total infiltration to the dwelling unit is 1.48498 ACH50
in.air_leakage_to_outside_ach50	1.5	Total infiltration to the dwelling unit is 1.5 ACH50
in.air_leakage_to_outside_ach50	1.5159	Total infiltration to the dwelling unit is 1.51589999999999 ACH50
in.air_leakage_to_outside_ach50	1.53068	Total infiltration to the dwelling unit is 1.53068 ACH50
in.air_leakage_to_outside_ach50	1.5326	Total infiltration to the dwelling unit is 1.5326 ACH50
in.air_leakage_to_outside_ach50	1.54464	Total infiltration to the dwelling unit is 1.54464 ACH50
in.air_leakage_to_outside_ach50	1.5458	Total infiltration to the dwelling unit is 1.5458 ACH50
in.air_leakage_to_outside_ach50	1.5501	Total infiltration to the dwelling unit is 1.5501 ACH50
in.air_leakage_to_outside_ach50	1.55025	Total infiltration to the dwelling unit is 1.55025 ACH50
in.air_leakage_to_outside_ach50	1.5519	Total infiltration to the dwelling unit is 1.55189999999999 ACH50
in.air_leakage_to_outside_ach50	1.57072	Total infiltration to the dwelling unit is 1.57072 ACH50
in.air_leakage_to_outside_ach50	1.57276	Total infiltration to the dwelling unit is 1.57276 ACH50
in.air_leakage_to_outside_ach50	1.57432	Total infiltration to the dwelling unit is 1.57432 ACH50
in.air_leakage_to_outside_ach50	1.58268	Total infiltration to the dwelling unit is 1.58268 ACH50
in.air_leakage_to_outside_ach50	1.5922	Total infiltration to the dwelling unit is 1.5922 ACH50
in.air_leakage_to_outside_ach50	1.59282	Total infiltration to the dwelling unit is 1.59282 ACH50
in.air_leakage_to_outside_ach50	1.59804	Total infiltration to the dwelling unit is 1.59804 ACH50
in.air_leakage_to_outside_ach50	1.60083	Total infiltration to the dwelling unit is 1.60083 ACH50
in.air_leakage_to_outside_ach50	1.60312	Total infiltration to the dwelling unit is 1.60312 ACH50
in.air_leakage_to_outside_ach50	1.60316	Total infiltration to the dwelling unit is 1.60316 ACH50
in.air_leakage_to_outside_ach50	1.61049	Total infiltration to the dwelling unit is 1.61049 ACH50
in.air_leakage_to_outside_ach50	1.62252	Total infiltration to the dwelling unit is 1.62252 ACH50
in.air_leakage_to_outside_ach50	1.62375	Total infiltration to the dwelling unit is 1.62374999999999 ACH50
in.air_leakage_to_outside_ach50	1.62804	Total infiltration to the dwelling unit is 1.62804 ACH50
in.air_leakage_to_outside_ach50	1.62966	Total infiltration to the dwelling unit is 1.62966 ACH50
in.air_leakage_to_outside_ach50	1.6317	Total infiltration to the dwelling unit is 1.6317 ACH50
in.air_leakage_to_outside_ach50	1.6336	Total infiltration to the dwelling unit is 1.6336 ACH50
in.air_leakage_to_outside_ach50	1.6353	Total infiltration to the dwelling unit is 1.6353 ACH50
in.air_leakage_to_outside_ach50	1.63642	Total infiltration to the dwelling unit is 1.63642 ACH50
in.air_leakage_to_outside_ach50	1.6374	Total infiltration to the dwelling unit is 1.6374 ACH50
in.air_leakage_to_outside_ach50	1.64268	Total infiltration to the dwelling unit is 1.64268 ACH50
in.air_leakage_to_outside_ach50	1.65501	Total infiltration to the dwelling unit is 1.65500999999999 ACH50
in.air_leakage_to_outside_ach50	1.6555	Total infiltration to the dwelling unit is 1.6555 ACH50
in.air_leakage_to_outside_ach50	1.65756	Total infiltration to the dwelling unit is 1.65756 ACH50
in.air_leakage_to_outside_ach50	1.65974	Total infiltration to the dwelling unit is 1.65974 ACH50
in.air_leakage_to_outside_ach50	1.6624	Total infiltration to the dwelling unit is 1.66239999999999 ACH50
in.air_leakage_to_outside_ach50	1.66418	Total infiltration to the dwelling unit is 1.66418 ACH50
in.air_leakage_to_outside_ach50	1.6723	Total infiltration to the dwelling unit is 1.6723 ACH50
in.air_leakage_to_outside_ach50	1.67572	Total infiltration to the dwelling unit is 1.67572 ACH50
in.air_leakage_to_outside_ach50	1.67676	Total infiltration to the dwelling unit is 1.67675999999999 ACH50
in.air_leakage_to_outside_ach50	1.67738	Total infiltration to the dwelling unit is 1.67738 ACH50
in.air_leakage_to_outside_ach50	1.67739	Total infiltration to the dwelling unit is 1.67739 ACH50
in.air_leakage_to_outside_ach50	1.68504	Total infiltration to the dwelling unit is 1.68504 ACH50
in.air_leakage_to_outside_ach50	1.68693	Total infiltration to the dwelling unit is 1.68693 ACH50
in.air_leakage_to_outside_ach50	1.69002	Total infiltration to the dwelling unit is 1.69001999999999 ACH50
in.air_leakage_to_outside_ach50	1.69485	Total infiltration to the dwelling unit is 1.69484999999999 ACH50
in.air_leakage_to_outside_ach50	1.70596	Total infiltration to the dwelling unit is 1.70596 ACH50
in.air_leakage_to_outside_ach50	1.71468	Total infiltration to the dwelling unit is 1.71468 ACH50
in.air_leakage_to_outside_ach50	1.71486	Total infiltration to the dwelling unit is 1.71486 ACH50
in.air_leakage_to_outside_ach50	1.71525	Total infiltration to the dwelling unit is 1.71525 ACH50
in.air_leakage_to_outside_ach50	1.71538	Total infiltration to the dwelling unit is 1.71538 ACH50
in.air_leakage_to_outside_ach50	1.7214	Total infiltration to the dwelling unit is 1.72139999999999 ACH50
in.air_leakage_to_outside_ach50	1.72311	Total infiltration to the dwelling unit is 1.72311 ACH50
in.air_leakage_to_outside_ach50	1.7246	Total infiltration to the dwelling unit is 1.7246 ACH50
in.air_leakage_to_outside_ach50	1.7254	Total infiltration to the dwelling unit is 1.7254 ACH50
in.air_leakage_to_outside_ach50	1.72718	Total infiltration to the dwelling unit is 1.72718 ACH50
in.air_leakage_to_outside_ach50	1.72959	Total infiltration to the dwelling unit is 1.72959 ACH50
in.air_leakage_to_outside_ach50	1.7324	Total infiltration to the dwelling unit is 1.7324 ACH50
in.air_leakage_to_outside_ach50	1.73604	Total infiltration to the dwelling unit is 1.73604 ACH50
in.air_leakage_to_outside_ach50	1.73892	Total infiltration to the dwelling unit is 1.73892 ACH50
in.air_leakage_to_outside_ach50	1.74336	Total infiltration to the dwelling unit is 1.74336 ACH50
in.air_leakage_to_outside_ach50	1.75	Total infiltration to the dwelling unit is 1.75 ACH50
in.air_leakage_to_outside_ach50	1.7502	Total infiltration to the dwelling unit is 1.7502 ACH50
in.air_leakage_to_outside_ach50	1.75821	Total infiltration to the dwelling unit is 1.75821 ACH50
in.air_leakage_to_outside_ach50	1.75986	Total infiltration to the dwelling unit is 1.75986 ACH50
in.air_leakage_to_outside_ach50	1.7634	Total infiltration to the dwelling unit is 1.76339999999999 ACH50
in.air_leakage_to_outside_ach50	1.76534	Total infiltration to the dwelling unit is 1.76534 ACH50
in.air_leakage_to_outside_ach50	1.77088	Total infiltration to the dwelling unit is 1.77088 ACH50
in.air_leakage_to_outside_ach50	1.77232	Total infiltration to the dwelling unit is 1.77232 ACH50
in.air_leakage_to_outside_ach50	1.7739	Total infiltration to the dwelling unit is 1.7739 ACH50
in.air_leakage_to_outside_ach50	1.7766	Total infiltration to the dwelling unit is 1.77659999999999 ACH50
in.air_leakage_to_outside_ach50	1.77728	Total infiltration to the dwelling unit is 1.77728 ACH50
in.air_leakage_to_outside_ach50	1.78716	Total infiltration to the dwelling unit is 1.78716 ACH50
in.air_leakage_to_outside_ach50	1.789	Total infiltration to the dwelling unit is 1.789 ACH50
in.air_leakage_to_outside_ach50	1.79079	Total infiltration to the dwelling unit is 1.79078999999999 ACH50
in.air_leakage_to_outside_ach50	1.7912	Total infiltration to the dwelling unit is 1.7912 ACH50
in.air_leakage_to_outside_ach50	1.79208	Total infiltration to the dwelling unit is 1.79208 ACH50
in.air_leakage_to_outside_ach50	1.7924	Total infiltration to the dwelling unit is 1.7924 ACH50
in.air_leakage_to_outside_ach50	1.79744	Total infiltration to the dwelling unit is 1.79744 ACH50
in.air_leakage_to_outside_ach50	1.8073	Total infiltration to the dwelling unit is 1.8073 ACH50
in.air_leakage_to_outside_ach50	1.81084	Total infiltration to the dwelling unit is 1.81084 ACH50
in.air_leakage_to_outside_ach50	1.81344	Total infiltration to the dwelling unit is 1.81344 ACH50
in.air_leakage_to_outside_ach50	1.81647	Total infiltration to the dwelling unit is 1.81646999999999 ACH50
in.air_leakage_to_outside_ach50	1.8179	Total infiltration to the dwelling unit is 1.8179 ACH50
in.air_leakage_to_outside_ach50	1.81795	Total infiltration to the dwelling unit is 1.81795 ACH50
in.air_leakage_to_outside_ach50	1.8201	Total infiltration to the dwelling unit is 1.8201 ACH50
in.air_leakage_to_outside_ach50	1.82952	Total infiltration to the dwelling unit is 1.82952 ACH50
in.air_leakage_to_outside_ach50	1.83465	Total infiltration to the dwelling unit is 1.83465 ACH50
in.air_leakage_to_outside_ach50	1.83472	Total infiltration to the dwelling unit is 1.83472 ACH50
in.air_leakage_to_outside_ach50	1.83735	Total infiltration to the dwelling unit is 1.83735 ACH50
in.air_leakage_to_outside_ach50	1.84305	Total infiltration to the dwelling unit is 1.84304999999999 ACH50
in.air_leakage_to_outside_ach50	1.8478	Total infiltration to the dwelling unit is 1.8478 ACH50
in.air_leakage_to_outside_ach50	1.8558	Total infiltration to the dwelling unit is 1.8558 ACH50
in.air_leakage_to_outside_ach50	1.86438	Total infiltration to the dwelling unit is 1.86438 ACH50
in.air_leakage_to_outside_ach50	1.86675	Total infiltration to the dwelling unit is 1.86675 ACH50
in.air_leakage_to_outside_ach50	1.86747	Total infiltration to the dwelling unit is 1.86747 ACH50
in.air_leakage_to_outside_ach50	1.88864	Total infiltration to the dwelling unit is 1.88864 ACH50
in.air_leakage_to_outside_ach50	1.88895	Total infiltration to the dwelling unit is 1.88895 ACH50
in.air_leakage_to_outside_ach50	1.8956	Total infiltration to the dwelling unit is 1.8956 ACH50
in.air_leakage_to_outside_ach50	1.89951	Total infiltration to the dwelling unit is 1.89951 ACH50
in.air_leakage_to_outside_ach50	1.901	Total infiltration to the dwelling unit is 1.901 ACH50
in.air_leakage_to_outside_ach50	1.9024	Total infiltration to the dwelling unit is 1.90239999999999 ACH50
in.air_leakage_to_outside_ach50	1.90365	Total infiltration to the dwelling unit is 1.90365 ACH50
in.air_leakage_to_outside_ach50	1.91575	Total infiltration to the dwelling unit is 1.91575 ACH50
in.air_leakage_to_outside_ach50	1.92792	Total infiltration to the dwelling unit is 1.92792 ACH50
in.air_leakage_to_outside_ach50	1.93401	Total infiltration to the dwelling unit is 1.93400999999999 ACH50
in.air_leakage_to_outside_ach50	1.94463	Total infiltration to the dwelling unit is 1.94462999999999 ACH50
in.air_leakage_to_outside_ach50	1.94835	Total infiltration to the dwelling unit is 1.94835 ACH50
in.air_leakage_to_outside_ach50	1.9485	Total infiltration to the dwelling unit is 1.9485 ACH50
in.air_leakage_to_outside_ach50	1.94968	Total infiltration to the dwelling unit is 1.94968 ACH50
in.air_leakage_to_outside_ach50	1.95984	Total infiltration to the dwelling unit is 1.95984 ACH50
in.air_leakage_to_outside_ach50	1.96236	Total infiltration to the dwelling unit is 1.96236 ACH50
in.air_leakage_to_outside_ach50	1.9634	Total infiltration to the dwelling unit is 1.96339999999999 ACH50
in.air_leakage_to_outside_ach50	1.96722	Total infiltration to the dwelling unit is 1.96722 ACH50
in.air_leakage_to_outside_ach50	1.9679	Total infiltration to the dwelling unit is 1.9679 ACH50
in.air_leakage_to_outside_ach50	1.97392	Total infiltration to the dwelling unit is 1.97392 ACH50
in.air_leakage_to_outside_ach50	1.9866	Total infiltration to the dwelling unit is 1.9866 ACH50
in.air_leakage_to_outside_ach50	1.99665	Total infiltration to the dwelling unit is 1.99664999999999 ACH50
in.air_leakage_to_outside_ach50	1.99755	Total infiltration to the dwelling unit is 1.99755 ACH50
in.air_leakage_to_outside_ach50	2	Total infiltration to the dwelling unit is 2 ACH50
in.air_leakage_to_outside_ach50	2.0039	Total infiltration to the dwelling unit is 2.0039 ACH50
in.air_leakage_to_outside_ach50	2.00395	Total infiltration to the dwelling unit is 2.00394999999999 ACH50
in.air_leakage_to_outside_ach50	2.00442	Total infiltration to the dwelling unit is 2.00441999999999 ACH50
in.air_leakage_to_outside_ach50	2.01231	Total infiltration to the dwelling unit is 2.01231 ACH50
in.air_leakage_to_outside_ach50	2.0169	Total infiltration to the dwelling unit is 2.0169 ACH50
in.air_leakage_to_outside_ach50	2.0212	Total infiltration to the dwelling unit is 2.0212 ACH50
in.air_leakage_to_outside_ach50	2.02538	Total infiltration to the dwelling unit is 2.02537999999999 ACH50
in.air_leakage_to_outside_ach50	2.02716	Total infiltration to the dwelling unit is 2.02716 ACH50
in.air_leakage_to_outside_ach50	2.03214	Total infiltration to the dwelling unit is 2.03214 ACH50
in.air_leakage_to_outside_ach50	2.03505	Total infiltration to the dwelling unit is 2.03505 ACH50
in.air_leakage_to_outside_ach50	2.042	Total infiltration to the dwelling unit is 2.042 ACH50
in.air_leakage_to_outside_ach50	2.04537	Total infiltration to the dwelling unit is 2.04537 ACH50
in.air_leakage_to_outside_ach50	2.05593	Total infiltration to the dwelling unit is 2.05593 ACH50
in.air_leakage_to_outside_ach50	2.0594	Total infiltration to the dwelling unit is 2.0594 ACH50
in.air_leakage_to_outside_ach50	2.06636	Total infiltration to the dwelling unit is 2.06636 ACH50
in.air_leakage_to_outside_ach50	2.0668	Total infiltration to the dwelling unit is 2.0668 ACH50
in.air_leakage_to_outside_ach50	2.067	Total infiltration to the dwelling unit is 2.067 ACH50
in.air_leakage_to_outside_ach50	2.07048	Total infiltration to the dwelling unit is 2.07048 ACH50
in.air_leakage_to_outside_ach50	2.07195	Total infiltration to the dwelling unit is 2.07194999999999 ACH50
in.air_leakage_to_outside_ach50	2.07224	Total infiltration to the dwelling unit is 2.07224 ACH50
in.air_leakage_to_outside_ach50	2.07615	Total infiltration to the dwelling unit is 2.07615 ACH50
in.air_leakage_to_outside_ach50	2.07846	Total infiltration to the dwelling unit is 2.07845999999999 ACH50
in.air_leakage_to_outside_ach50	2.09496	Total infiltration to the dwelling unit is 2.09496 ACH50
in.air_leakage_to_outside_ach50	2.10117	Total infiltration to the dwelling unit is 2.10116999999999 ACH50
in.air_leakage_to_outside_ach50	2.10216	Total infiltration to the dwelling unit is 2.10216 ACH50
in.air_leakage_to_outside_ach50	2.10408	Total infiltration to the dwelling unit is 2.10407999999999 ACH50
in.air_leakage_to_outside_ach50	2.1063	Total infiltration to the dwelling unit is 2.1063 ACH50
in.air_leakage_to_outside_ach50	2.12376	Total infiltration to the dwelling unit is 2.12376 ACH50
in.air_leakage_to_outside_ach50	2.12463	Total infiltration to the dwelling unit is 2.12463 ACH50
in.air_leakage_to_outside_ach50	2.13072	Total infiltration to the dwelling unit is 2.13072 ACH50
in.air_leakage_to_outside_ach50	2.13245	Total infiltration to the dwelling unit is 2.13245 ACH50
in.air_leakage_to_outside_ach50	2.13304	Total infiltration to the dwelling unit is 2.13304 ACH50
in.air_leakage_to_outside_ach50	2.1468	Total infiltration to the dwelling unit is 2.1468 ACH50
in.air_leakage_to_outside_ach50	2.14732	Total infiltration to the dwelling unit is 2.14732 ACH50
in.air_leakage_to_outside_ach50	2.15175	Total infiltration to the dwelling unit is 2.15175 ACH50
in.air_leakage_to_outside_ach50	2.15575	Total infiltration to the dwelling unit is 2.15575 ACH50
in.air_leakage_to_outside_ach50	2.16336	Total infiltration to the dwelling unit is 2.16336 ACH50
in.air_leakage_to_outside_ach50	2.16392	Total infiltration to the dwelling unit is 2.16392 ACH50
in.air_leakage_to_outside_ach50	2.17005	Total infiltration to the dwelling unit is 2.17005 ACH50
in.air_leakage_to_outside_ach50	2.175	Total infiltration to the dwelling unit is 2.175 ACH50
